ID,Square,Level,Chronology,RawMaterial,DamagedPlatforms,Blank,Retouch,AxisCoincident,TypologicalAxisLength,TechnologicalAxisLength,TypologicalAxisWidth,TechnologicalAxisWidth,Thickness,Cortex,ButtType,Profile,CrossSection,SideSection,BlankShape,DorsalScars,Fire
767,H23,6,Solutrean,Quartz,2,CompleteFlake,No,Yes,29.77,NA,22.63,NA,10.71,No_Cortex,Absent,Straight,Trapezoidal,Elliptical,Parallel,Proximal-Parallel,No_Traces
850,H24,2,Magdalenian,Quartz,2,FlakeFragment,No,No,22.63,NA,20.11,20.11,6.79,No_Cortex,Absent,Straight,Triangular,Triangular,Circular,Non_Identifiable,No_Traces
Noid10,G25,16,Gravettian,Quartz,2,FlakeFragment,No,No,28.74,NA,16.72,16.72,10.42,No_Cortex,Absent,Straight,Trapezoidal,Elliptical,Parallel,Non_Identifiable,No_Traces
Noid15,Z,27,Gravettian,Quartz,2,CompleteFlake,No,Yes,31.73,NA,17.91,NA,13.49,>95%,Absent,Straight,Trapezoidal,Elliptical,Parallel,Distal-Parallel,No_Traces
Noid17,Z27,4,Solutrean,Quartz,2,CompleteFlake,No,Yes,30.81,NA,21.4,NA,11.6,No_Cortex,Absent,Straight,Triangular,Triangular,Converging,Proximal-Parallel,No_Traces
Noid19,H24,4,Solutrean,Quartz,2,FlakeFragment,No,No,20.75,NA,8.98,NA,7.98,No_Cortex,Absent,Straight,Triangular,Semi_Circular,Parallel,Non_Identifiable,No_Traces
Noid38,G25,8,Solutrean,Chert,2,FlakeFragment,No,Yes,15.72,NA,18.81,NA,5.81,No_Cortex,Absent,Straight,Triangular,Elliptical,Circular,Non_Identifiable,No_Traces
Noid2,G25,4,Solutrean,Quartz,2,FlakeFragment,No,Yes,23.49,NA,11.84,NA,8.7,No_Cortex,Absent,Straight,Trapezoidal,Semi_Circular,Parallel,Non_Identifiable,No_Traces
Noid22,G25,11,Gravettian,Quartz,2,Non_identifiable,No,NA,25.84,NA,11.32,NA,7.65,No_Cortex,Absent,Curved,Trapezoidal,Semi_Circular,Parallel,Non_Identifiable,No_Traces
Noid27,G25,11,Gravettian,Quartz,2,Non_identifiable,No,NA,25.22,NA,11.97,NA,9.42,50-95%,Absent,Straight,Other,Irregular,Converging,Non_Identifiable,No_Traces
Noid30,G25,9,Proto-Solutrean,Quartz,2,FlakeFragment,No,No,30.72,NA,26.03,23.64,8.73,No_Cortex,Absent,Straight,Trapezoidal,Triangular,Irregular,Non_Identifiable,No_Traces
Noid32,G24,2,Magdalenian,Quartz,2,FlakeFragment,No,No,22.25,NA,15.35,15.35,7.08,No_Cortex,Absent,Straight,Rectangular,Trapezoidal,Converging,Non_Identifiable,No_Traces
Noid44,G25,9,Proto-Solutrean,Chert,2,CompleteFlake,No,Yes,32.18,NA,24.57,NA,18.31,No_Cortex,Absent,Straight,Trapezoidal,Trapezoidal,Circular,Non_Identifiable,No_Traces
Noid34,G25,3,Solutrean,Quartz,2,FlakeFragment,No,No,17.12,NA,21.81,16.7,5.53,No_Cortex,Absent,Straight,Trapezoidal,Trapezoidal,Parallel,Non_Identifiable,No_Traces
Noid36,G24,2,Magdalenian,Quartz,2,FlakeFragment,No,Yes,27.66,NA,14.61,NA,10.63,No_Cortex,Absent,Straight,Rectangular,Semi_Circular,Parallel,Non_Identifiable,No_Traces
Noid4,G25,9,Proto-Solutrean,Quartz,2,CompleteFlake,No,Yes,32.7,NA,24.01,NA,12.1,No_Cortex,Absent,Straight,Trapezoidal,Trapezoidal,Parallel,Non_Identifiable,No_Traces
Noid45,G25,4,Solutrean,Quartz,2,FlakeFragment,No,Yes,24.27,NA,13.48,NA,8.1,No_Cortex,Absent,Straight,Trapezoidal,Irregular,Parallel,Non_Identifiable,No_Traces
Noid8,G25,17,Gravettian,Quartz,2,Non_identifiable,No,NA,26.4,NA,13.7,NA,8.11,No_Cortex,Absent,Straight,Triangular,Trapezoidal,Parallel,Non_Identifiable,No_Traces
1574,H21,8,Solutrean,Chalcedony,2,CompleteFlake,No,Yes,29.88,NA,16.17,NA,7.69,No_Cortex,Absent,Straight,Trapezoidal,Trapezoidal,Parallel,Non_Identifiable,No_Traces
Noid9,G25,17,Gravettian,Quartz,2,FlakeFragment,No,Yes,22.97,NA,15.97,NA,6.44,No_Cortex,Absent,Straight,Trapezoidal,Elliptical,Other,Non_Identifiable,No_Traces
Noid50,G25,5,Solutrean,Chert,2,CompleteFlake,No,Yes,28.7,NA,24.23,NA,12.03,No_Cortex,Absent,Straight,Trapezoidal,Irregular,Circular,Proximal-Parallel,No_Traces
