ID,Square,Level,Chronology,RawMaterial,DamagedPlatforms,Width_PlatformA,NScars_PlatformA,DamageDegree_PlatformA,ScarShape_PlatformA,ScarDistribution_PlatformA,ScarArrangement_PlatformA,MaxScarSize_PlatformA,AverageScarSize_PlatformA,ScarExtention_PlatformA,ScarFacialDistribution_PlatformA,ScarEdgeDelineation_PlatformA,Angle_PlatformA,Width_PlatformB,NScars_PlatformB,DamageDegree_PlatformB,ScarShape_PlatformB,ScarDistribution_PlatformB,ScarArrangement_PlatformB,MaxScarSize_PlatformB,AverageScarSize_PlatformB,ScarExtention_PlatformB,ScarFacialDistribution_PlatformB,ScarEdgeDelineation_PlatformB,Angle_PlatformB,Width_PlatformC,NScars_PlatformC,DamageDegree_PlatformC,ScarShape_PlatformC,ScarDistribution_PlatformC,ScarArrangement_PlatformC,MaxScarSize_PlatformC,AverageScarSize_PlatformC,ScarExtention_PlatformC,ScarFacialDistribution_PlatformC,ScarEdgeDelineation_PlatformC,Angle_PlatformC,Width_PlatformD,NScars_PlatformD,DamageDegree_PlatformD,ScarShape_PlatformD,ScarDistribution_PlatformD,ScarArrangement_PlatformD,MaxScarSize_PlatformD,AverageScarSize_PlatformD,ScarExtention_PlatformD,ScarFacialDistribution_PlatformD,ScarEdgeDelineation_PlatformD,Angle_PlatformD
447,G24,14,Gravettian,Chert,2,13.2,2,Low,Half_Moon,Lateral_Central,Aligned,4.28,4.2,Marginal,Bifacial,Oblique,>45,11.01,4,High,Half_Moon,Total,Overlapped,5.71,3.68,Marginal,Unifacial,Straight,>45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Noid3,G25,11,Gravettian,Chert,2,20.38,5,Medium,Mixed,Total,Aligned,9.4,6.07,Mixed_Invasive,Bifacial,Straight,>45,15.79,2,Low,Irregular,Total,Aligned,3.32,3.32,Marginal,Unifacial,Irregular,<45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Noid5,G25,17,Gravettian,Chert,2,21.84,8,Medium,Mixed,Total,Aligned_Overlapped,9.53,7.96,Invasive,Bifacial,Straight,>45,19.9,4,Medium,Mixed,Total,Aligned,17.32,12.81,Mixed_Invasive,Unifacial,Straight,>45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Noid6,G25,5,Solutrean,Chert,3,17.31,3,Medium,Semi_Circular,Total,Isolated,20.3,9.7,Invasive,Bifacial,Straight,<45,22,5,Low,Irregular,Total,Aligned,4.95,4.9,Marginal,Bifacial,Straight,>45,14.55,3,Medium,Half_Moon,Total,Overlapped,5.11,5.11,Marginal,Unifacial,Straight,>45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1465,H24,4,Solutrean,Chert,2,9.48,1,Low,Triangular,Central,Isolated,2.9,2.9,Marginal,Bifacial,Pointed,>45,7.27,2,Medium,Trapezoidal,Total,Isolated,6.45,2.71,Marginal,Unifacial,Pointed,>45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
702,G22,5,Solutrean,Chert,3,33.13,15,High,Mixed,Total,Aligned_Overlapped,8.96,5.33,Mixed_Marginal,Bifacial,Oblique,>45,27.41,8,High,Mixed,Lateral_Central,Aligned_Overlapped,4.5,4.14,Marginal,Bifacial,Concave,Platform,31.36,12,High,Mixed,Total,Aligned_Overlapped,14.58,4.00,Mixed_Marginal,Bifacial,Straight,>45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Noid7,G25,18,Gravettian,Chert,3,15.95,4,Medium,Mixed,Total,Aligned,7.4,4.16,Marginal,Bifacial,Straight,<45,12.35,5,Low,Semi_Circular,Total,Aligned,5.98,5.9,Marginal,Bifacial,Straight,<45,12.10,4,Low,Half_Moon,Total,Aligned,4.80,4.80,Marginal,Unifacial,Oblique,>45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2789,ZZ25,7,Solutrean,Chert,2,11.77,2,Medium,Semi_Circular,Central,Aligned,5.84,5.8,Invasive,Unifacial,Straight,>45,16.14,3,High,Half_Moon,Total,Overlapped,15.15,10.07,Invasive,Bifacial,Irregular,>45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1934,G24,12,Gravettian,Chert,4_or_more,12.78,3,High,Mixed,Total,Overlapped,9.1,6.75,Invasive,Unifacial,Straight,<45,33.5,20,High,Mixed,Total,Aligned_Overlapped,7.84,5.19,Invasive,Unifacial,Irregular,<45,19.48,2,High,Irregular,Central,Isolated,6.34,5.07,Marginal,Unifacial,Irregular,>45,32.93,16,High,Mixed,Total,Aligned_Overlapped,6.64,6.60,Mixed_Invasive,Unifacial,Irregular,>45
1704,ZZ25,6,Solutrean,Chert,2,8.69,1,Low,Irregular,Lateral_Central,Isolated,2.29,2.29,Marginal,Bifacial,Straight,Platform,14.4,2,Medium,Half_Moon,Central,Isolated,2.81,2.8,Marginal,Bifacial,Straight,>45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
