ID,Square,Level,Chronology,RawMaterial,DamagedPlatforms,Width_PlatformA,NScars_PlatformA,DamageDegree_PlatformA,ScarShape_PlatformA,ScarDistribution_PlatformA,ScarArrangement_PlatformA,MaxScarSize_PlatformA,AverageScarSize_PlatformA,ScarExtention_PlatformA,ScarFacialDistribution_PlatformA,ScarEdgeDelineation_PlatformA,Angle_PlatformA,Width_PlatformB,NScars_PlatformB,DamageDegree_PlatformB,ScarShape_PlatformB,ScarDistribution_PlatformB,ScarArrangement_PlatformB,MaxScarSize_PlatformB,AverageScarSize_PlatformB,ScarExtention_PlatformB,ScarFacialDistribution_PlatformB,ScarEdgeDelineation_PlatformB,Angle_PlatformB,Width_PlatformC,NScars_PlatformC,DamageDegree_PlatformC,ScarShape_PlatformC,ScarDistribution_PlatformC,ScarArrangement_PlatformC,MaxScarSize_PlatformC,AverageScarSize_PlatformC,ScarExtention_PlatformC,ScarFacialDistribution_PlatformC,ScarEdgeDelineation_PlatformC,Angle_PlatformC,Width_PlatformD,NScars_PlatformD,DamageDegree_PlatformD,ScarShape_PlatformD,ScarDistribution_PlatformD,ScarArrangement_PlatformD,MaxScarSize_PlatformD,AverageScarSize_PlatformD,ScarExtention_PlatformD,ScarFacialDistribution_PlatformD,ScarEdgeDelineation_PlatformD,Angle_PlatformD
376,ZZ27,3,Solutrean,Quartz,2,9.23,1,Low,Half_Moon,Central,Isolated,4.31,4.31,Marginal,Unifacial,Concave,>45,9.25,1,High,Irregular,Central,Isolated,2.82,2.8,Marginal,Unifacial,Straight,Platform,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3809,ZZ27,9,Gravettian,Quartz,2,18.31,1,Medium,Irregular,Total,Isolated,5.9,5,Marginal,Bifacial,Concave,Platform,14.63,1,High,Irregular,Central,Isolated,4,4,Marginal,Bifacial,Irregular,Platform,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3885,ZZ27,9,Gravettian,Quartz,2,11.61,2,Medium,Quadrangular,Central,Isolated,8.03,7,Invasive,Bifacial,Straight,>45,17.55,4,High,Mixed,Total,Overlapped,7.34,7.3,Invasive,Bifacial,Irregular,>45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,H24,20,Gravettian,Quartz,2,9.15,1,Low,Quadrangular,Central,Isolated,6.94,6.94,Invasive,Unifacial,Irregular,Platform,10.19,4,Low,Mixed,Total,Aligned_Overlapped,4.07,3.56,Marginal,Unifacial,Straight,>45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
421,H24,23,Gravettian,Quartz,2,25.65,10,High,Irregular,Total,Aligned_Overlapped,7.27,3.83,Mixed_Marginal,Bifacial,Oblique,Platform,18.32,8,High,Irregular,Total,Aligned,4.54,3.4,Marginal,Bifacial,Concave,Platform,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
441,ZZ27,3,Solutrean,Quartz,2,16.07,2,Medium,Triangular,Total,Isolated,6.27,3.2,Mixed_Marginal,Bifacial,Straight,>45,12.29,2,High,Irregular,Total,Isolated,5.28,3.62,Marginal,Bifacial,Straight,Platform,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2558,G23,14,Gravettian,Chert,2,15.82,3,Low,Half_Moon,Total,Aligned,1.83,1.8,Marginal,Bifacial,Straight,<45,9.71,4,Medium,Half_Moon,Total,Aligned,3.12,3.12,Marginal,Bifacial,Straight,>45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
450,ZZ27,3,Solutrean,Quartz,2,13.19,1,High,Irregular,Central,Isolated,3.8,3.8,Marginal,Unifacial,Pointed,>45,13.33,3,High,Mixed,Total,Overlapped,5.35,5.35,Mixed_Invasive,Unifacial,Concave,>45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
456,ZZ26,3,Solutrean,Quartz,2,8.2,2,Low,Irregular,Central,Overlapped,6.3,6.3,Marginal,Unifacial,Straight,>45,10.92,2,Medium,Quadrangular,Central,Overlapped,7.83,7.8,Invasive,Unifacial,Straight,>45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
551,H22,5,Solutrean,Quartz,2,12.07,5,High,Semi_Circular,Total,Overlapped,9.72,5.7,Mixed,Unifacial,Oblique,>45,14.74,5,High,Mixed,Total,Aligned,21.32,3.96,Mixed_Marginal,Bifacial,Pointed,Platform,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
767,H23,6,Solutrean,Quartz,2,20.51,5,High,Mixed,Lateral_Central,Aligned_Overlapped,10.74,7.88,Mixed,Unifacial,Straight,>45,11,2,High,Triangular,Central,Isolated,13.46,11.46,Invasive,Bifacial,Pointed,>45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
850,H24,2,Magdalenian,Quartz,2,17.88,3,Medium,Quadrangular,Total,Aligned,13.38,8.24,Invasive,Bifacial,Straight,>45,21.62,1,Medium,Quadrangular,Central,Isolated,7.27,7.2,Marginal,Unifacial,Oblique,>45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Noid10,G25,16,Gravettian,Quartz,2,15.23,1,High,Quadrangular,Total,Isolated,10.84,10.8,Invasive,Unifacial,Straight,>45,15.32,1,Medium,Quadrangular,Total,Isolated,8.95,8.95,Invasive,Unifacial,Straight,<45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Noid15,Z,27,Gravettian,Quartz,2,38.15,3,Medium,Mixed,Lateral_Central,Isolated,18.12,7.24,Mixed_Invasive,Bifacial,Straight,>45,12.41,2,Medium,Mixed,Central,Overlapped,14.88,14.88,Mixed,Unifacial,Pointed,>45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Noid17,Z27,4,Solutrean,Quartz,2,10.18,1,High,Irregular,Central,Isolated,2.99,2.99,Marginal,Bifacial,Pointed,>45,18.36,1,Medium,Irregular,Lateral_Central,Isolated,3.07,3.07,Marginal,Unifacial,Oblique,Platform,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Noid19,H24,4,Solutrean,Quartz,2,6.85,1,Low,Irregular,Lateral_Central,Isolated,1.61,1.61,Marginal,Bifacial,Irregular,>45,7.4,1,Low,Semi_Circular,Central,Isolated,3.03,3,Marginal,Unifacial,Irregular,Platform,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Noid38,G25,8,Solutrean,Chert,2,12.54,5,Medium,Triangular,Lateral_Central,Overlapped,8.26,3.58,Mixed_Invasive,Bifacial,Concave,>45,19.15,7,High,Semi_Circular,Total,Overlapped,7.56,4.24,Mixed,Bifacial,Straight,>45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Noid2,G25,4,Solutrean,Quartz,2,10.97,3,Medium,Irregular,Central,Overlapped,4.86,4.86,Marginal,Unifacial,Concave,>45,9.85,2,High,Mixed,Total,Aligned,13.89,5.61,Mixed_Invasive,Bifacial,Concave,>45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Noid22,G25,11,Gravettian,Quartz,2,10.03,3,Medium,Half_Moon,Central,Overlapped,10.18,5.42,Mixed_Invasive,Bifacial,Oblique,<45,6.07,1,Low,Irregular,Central,Isolated,2.97,2.9,Marginal,Unifacial,Pointed,Platform,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Noid27,G25,11,Gravettian,Quartz,2,13.05,3,High,Triangular,Total,Aligned,6.11,4.75,Invasive,Bifacial,Irregular,Platform,4.35,2,Low,Irregular,Central,Isolated,10.5,4,Mixed_Marginal,Bifacial,Pointed,<45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Noid30,G25,9,Proto-Solutrean,Quartz,2,20.36,8,Medium,Half_Moon,Total,Aligned_Overlapped,3.6,2.26,Marginal,Bifacial,Concave,Platform,16.59,6,High,Trapezoidal,Total,Aligned,9.69,6.52,Invasive,Unifacial,Irregular,>45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Noid32,G24,2,Magdalenian,Quartz,2,8.78,4,Medium,Quadrangular,Lateral_Central,Aligned,4.54,4,Mixed_Invasive,Unifacial,Pointed,>45,14.97,4,Low,Irregular,Lateral_Central,Overlapped,1.79,1.7,Marginal,Bifacial,Concave,>45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Noid44,G25,9,Proto-Solutrean,Chert,2,11.54,6,High,Mixed,Total,Aligned_Overlapped,10.73,5.38,Mixed_Invasive,Bifacial,Pointed,Platform,14.31,5,Medium,Mixed,Total,Aligned,21.91,7.6,Mixed,Unifacial,Concave,>45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Noid34,G25,3,Solutrean,Quartz,2,24.15,4,Medium,Mixed,Total,Aligned_Overlapped,9.09,7.56,Invasive,Unifacial,Oblique,>45,22.9,12,Low,Half_Moon,Lateral_Central,Isolated_Overlapped,4.43,4.1,Marginal,Unifacial,Concave,>45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Noid36,G24,2,Magdalenian,Quartz,2,12.74,3,Medium,Trapezoidal,Total,Aligned,4.67,2.75,Mixed_Marginal,Unifacial,Straight,<45,7.15,2,High,Semi_Circular,Total,Overlapped,5.58,3.93,Mixed_Invasive,Bifacial,Pointed,>45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Noid4,G25,9,Proto-Solutrean,Quartz,2,23.06,5,Medium,Irregular,Total,Aligned,3.66,2.72,Marginal,Unifacial,Straight,<45,14.23,1,Low,Quadrangular,Central,Isolated,5.9,5.9,Marginal,Unifacial,Irregular,>45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Noid45,G25,4,Solutrean,Quartz,2,13.4,4,Medium,Mixed,Central,Aligned,5.96,4.21,Mixed,Unifacial,Straight,>45,10.17,1,Low,Quadrangular,Total,Isolated,4,4,Invasive,Unifacial,Straight,>45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Noid8,G25,17,Gravettian,Quartz,2,13.04,3,Medium,Quadrangular,Total,Aligned,6.3,3.3,Invasive,Unifacial,Straight,>45,11.8,1,Medium,Quadrangular,Central,Isolated,14.64,14.6,Invasive,Unifacial,Irregular,>45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1574,H21,8,Solutrean,Chalcedony,2,15.44,9,High,Mixed,Total,Overlapped,13.83,6.36,Mixed_Invasive,Bifacial,Straight,>45,11.56,1,Low,Irregular,Lateral_Central,Isolated,15.33,15.33,Invasive,Bifacial,Concave,<45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Noid9,G25,17,Gravettian,Quartz,2,13.12,3,Low,Half_Moon,Total,Aligned,5.17,5.12,Marginal,Unifacial,Straight,>45,14.61,2,Low,Half_Moon,Central,Isolated,3.36,3.36,Marginal,Bifacial,Concave,>45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Noid50,G25,5,Solutrean,Chert,2,21.41,13,High,Mixed,Central,Aligned_Overlapped,18.43,6.12,Mixed,Bifacial,Pointed,>45,21.99,8,High,Half_Moon,Lateral_Central,Overlapped,5.94,5.9,Mixed_Marginal,Unifacial,Concave,>45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
